Permissions string, Octal
 ---------T , 1000
 ---------t , 1001
 --------wT , 1002
 --------wt , 1003
 -------r-T , 1004
 -------r-t , 1005
 -------rwT , 1006
 -------rwt , 1007
 ------x--T , 1010
 ------x--t , 1011
 ------x-wT , 1012
 ------x-wt , 1013
 ------xr-T , 1014
 ------xr-t , 1015
 ------xrwT , 1016
 ------xrwt , 1017
 -----w---T , 1020
 -----w---t , 1021
 -----w--wT , 1022
 -----w--wt , 1023
 -----w-r-T , 1024
 -----w-r-t , 1025
 -----w-rwT , 1026
 -----w-rwt , 1027
 -----wx--T , 1030
 -----wx--t , 1031
 -----wx-wT , 1032
 -----wx-wt , 1033
 -----wxr-T , 1034
 -----wxr-t , 1035
 -----wxrwT , 1036
 -----wxrwt , 1037
 ----r----T , 1040
 ----r----t , 1041
 ----r---wT , 1042
 ----r---wt , 1043
 ----r--r-T , 1044
 ----r--r-t , 1045
 ----r--rwT , 1046
 ----r--rwt , 1047
 ----r-x--T , 1050
 ----r-x--t , 1051
 ----r-x-wT , 1052
 ----r-x-wt , 1053
 ----r-xr-T , 1054
 ----r-xr-t , 1055
 ----r-xrwT , 1056
 ----r-xrwt , 1057
 ----rw---T , 1060
 ----rw---t , 1061
 ----rw--wT , 1062
 ----rw--wt , 1063
 ----rw-r-T , 1064
 ----rw-r-t , 1065
 ----rw-rwT , 1066
 ----rw-rwt , 1067
 ----rwx--T , 1070
 ----rwx--t , 1071
 ----rwx-wT , 1072
 ----rwx-wt , 1073
 ----rwxr-T , 1074
 ----rwxr-t , 1075
 ----rwxrwT , 1076
 ----rwxrwt , 1077
 ---x-----T , 1100
 ---x-----t , 1101
 ---x----wT , 1102
 ---x----wt , 1103
 ---x---r-T , 1104
 ---x---r-t , 1105
 ---x---rwT , 1106
 ---x---rwt , 1107
 ---x--x--T , 1110
 ---x--x--t , 1111
 ---x--x-wT , 1112
 ---x--x-wt , 1113
 ---x--xr-T , 1114
 ---x--xr-t , 1115
 ---x--xrwT , 1116
 ---x--xrwt , 1117
 ---x-w---T , 1120
 ---x-w---t , 1121
 ---x-w--wT , 1122
 ---x-w--wt , 1123
 ---x-w-r-T , 1124
 ---x-w-r-t , 1125
 ---x-w-rwT , 1126
 ---x-w-rwt , 1127
 ---x-wx--T , 1130
 ---x-wx--t , 1131
 ---x-wx-wT , 1132
 ---x-wx-wt , 1133
 ---x-wxr-T , 1134
 ---x-wxr-t , 1135
 ---x-wxrwT , 1136
 ---x-wxrwt , 1137
 ---xr----T , 1140
 ---xr----t , 1141
 ---xr---wT , 1142
 ---xr---wt , 1143
 ---xr--r-T , 1144
 ---xr--r-t , 1145
 ---xr--rwT , 1146
 ---xr--rwt , 1147
 ---xr-x--T , 1150
 ---xr-x--t , 1151
 ---xr-x-wT , 1152
 ---xr-x-wt , 1153
 ---xr-xr-T , 1154
 ---xr-xr-t , 1155
 ---xr-xrwT , 1156
 ---xr-xrwt , 1157
 ---xrw---T , 1160
 ---xrw---t , 1161
 ---xrw--wT , 1162
 ---xrw--wt , 1163
 ---xrw-r-T , 1164
 ---xrw-r-t , 1165
 ---xrw-rwT , 1166
 ---xrw-rwt , 1167
 ---xrwx--T , 1170
 ---xrwx--t , 1171
 ---xrwx-wT , 1172
 ---xrwx-wt , 1173
 ---xrwxr-T , 1174
 ---xrwxr-t , 1175
 ---xrwxrwT , 1176
 ---xrwxrwt , 1177
 --w------T , 1200
 --w------t , 1201
 --w-----wT , 1202
 --w-----wt , 1203
 --w----r-T , 1204
 --w----r-t , 1205
 --w----rwT , 1206
 --w----rwt , 1207
 --w---x--T , 1210
 --w---x--t , 1211
 --w---x-wT , 1212
 --w---x-wt , 1213
 --w---xr-T , 1214
 --w---xr-t , 1215
 --w---xrwT , 1216
 --w---xrwt , 1217
 --w--w---T , 1220
 --w--w---t , 1221
 --w--w--wT , 1222
